Line_descr;Line_encoding;Category
846-ΝΕΑΠΟΛΗ-ΣΤ.ΝΙΚΑΙΑ(ΚΥΚΛΙΚΗ);320;2
848-ΝΕΑΠΟΛΗ-ΧΑΡΑΥΓΗ;316;2
852-ΝΕΑΠΟΛΗ-ΣΤ.ΜΕΤΡΟΑΙΓΑΛΕΩ(ΚΥΚΛΙΚΗ);186;2
856-ΑΙΓΑΛΕΩ-ΥΜΗΤΤΟΣ-ΔΑΦΝΗ;179;1
859-ΠΕΙΡΑΙΑΣ-ΔΕΞΑΜΕΝΕΣ-ΝΕΟΣΜΩΛΟΣΔΡΑΠΕΤΣΩΝΑΣ(ΚΥΚΛΙΚΗ);104;0
860-Π.ΦΑΛΗΡΟ-ΓΕΝ.ΚΡΑΤΙΚΟΝΙΚΑΙΑΣ-ΣΧΙΣΤΟΚΕΡΑΤΣΙΝΙΟΥ;196;4
868-ΘΡΙΑΣΙΟΝΟΣΟΚΟΜΕΙΟ-ΣΤ.ΑΓ.ΜΑΡΙΝΑ;105;2
871-ΠΕΙΡΑΙΑΣ-ΕΛΕΥΣΙΝΑ(ΜΕΣΩΛ.ΕΘΝ.ΑΝΤΙΣΤΑΣΕΩΣ);106;0
871Τ-ΠΕΙΡΑΙΑΣ-ΣΧΙΣΤΟ(ΚΥΚΛΙΚΗ);231;5
891-ΑΓ.ΒΑΡΒΑΡΑ-ΑΙΓΑΛΕΩ-ΠΕΡΙΣΤΕΡΙ-ΣΤΑΘ.ΑΤΤΙΚΗΣ(ΚΥΚΛΙΚΗ);107;4
892-ΑΓ.ΒΑΡΒΑΡΑ-ΧΑΪΔΑΡΙ-ΑΓ.ΑΝΑΡΓΥΡΟΙ-ΙΛΙΟΝ;108;4
904-ΠΛ.ΚΑΡΑΪΣΚΑΚΗ-ΣΤ.ΠΕΙΡΑΙΑ-ΦΡΕΑΤΤΥΔΑ(ΚΥΚΛΙΚΗ);187;0
906-ΠΛ.ΚΑΡΑΪΣΚΑΚΗ-ΚΑΛΛΙΠΟΛΗ(ΚΥΚΛΙΚΗ);109;0
909-ΑΓ.ΒΑΣΙΛΕΙΟΣ-ΑΓ.ΣΟΦΙΑ-ΚΡΑΤ.ΝΙΚΑΙΑΣ;110;2
910-ΣΤ.ΣΥΓΓΡΟΥΦΙΞ-ΤΖΙΤΖΙΦΙΕΣ(ΚΥΚΛΙΚΗ);111;2
911-ΣΤΑΘ.ΚΑΛΛΙΘΕΑΣ-ΙΔΡ.ΤΥΦΛΩΝ(ΚΥΚΛΙΚΗ);180;2
