veh_no,vehtyp_code,vehtyp_capacity,vehtyp_full_limit
30797,8,100,95
30799,8,100,95
30800,8,100,95
30801,8,100,95
30802,8,100,95
30803,8,100,95
30804,8,100,95
30805,8,100,95
30807,8,100,95
30808,8,100,95
30809,8,100,95
30810,8,100,95
30812,8,100,95
30813,8,100,95
30814,8,100,95
30815,8,100,95
30818,8,100,95
30820,8,100,95
30821,8,100,95
30822,8,100,95
30823,8,100,95
30824,8,100,95
30825,8,100,95
30829,8,100,95
30830,8,100,95
30831,8,100,95
30833,8,100,95
30834,8,100,95
30835,8,100,95
30836,8,100,95
30837,8,100,95
30838,8,100,95
30839,8,100,95
30840,8,100,95
30841,8,100,95
30842,8,100,95
30843,8,100,95
30844,8,100,95
30845,8,100,95
30846,8,100,95
30847,8,100,95
30848,8,100,95
30849,8,100,95
30851,8,100,95
30852,8,100,95
30853,8,100,95
30855,8,100,95
30858,8,100,95
30859,8,100,95
30860,8,100,95
30862,8,100,95
30863,8,100,95
30864,8,100,95
30866,8,100,95
30867,8,100,95
30868,8,100,95
30869,8,100,95
30870,8,100,95
30871,8,100,95
30872,8,100,95
30873,8,100,95
30874,8,100,95
30876,8,100,95
30877,8,100,95
30878,8,100,95
30879,8,100,95
30880,8,100,95
30881,8,100,95
30882,8,100,95
30884,8,100,95
30885,8,100,95
30886,8,100,95
30888,8,100,95
30890,8,100,95
30891,8,100,95
30892,8,100,95
30893,8,100,95
30894,8,100,95
30895,8,100,95
30896,8,100,95
30897,8,100,95
30898,8,100,95
30899,8,100,95
30900,8,100,95
30901,8,100,95
30902,8,100,95
30903,8,100,95
30904,8,100,95
30905,8,100,95
30906,8,100,95
30907,8,100,95
30908,8,100,95
30909,8,100,95
30910,8,100,95
30911,8,100,95
30912,8,100,95
30913,8,100,95
30914,8,100,95
30915,8,100,95
30916,8,100,95
30917,8,100,95
30918,8,100,95
30919,8,100,95
30920,8,100,95
30921,8,100,95
30922,8,100,95
30923,8,100,95
30924,8,100,95
30925,8,100,95
30926,8,100,95
30927,8,100,95
30928,8,100,95
30929,8,100,95
30930,8,100,95
30931,8,100,95
30932,8,100,95
30933,8,100,95
30934,8,100,95
30936,8,100,95
30937,8,100,95
30938,8,100,95
30939,8,100,95
30940,8,100,95
30941,8,100,95
30942,8,100,95
30943,8,100,95
30944,8,100,95
30947,8,100,95
30948,8,100,95
30949,8,100,95
30951,8,100,95
30952,8,100,95
30953,8,100,95
30954,8,100,95
30955,8,100,95
30956,8,100,95
30957,8,100,95
30958,8,100,95
30959,8,100,95
30960,8,100,95
30961,8,100,95
30962,8,100,95
30963,8,100,95
30964,8,100,95
30965,8,100,95
30966,8,100,95
30968,8,100,95
30969,8,100,95
30970,8,100,95
30971,8,100,95
30973,8,100,95
30974,8,100,95
30975,8,100,95
30976,8,100,95
30977,8,100,95
30978,8,100,95
30979,8,100,95
30980,8,100,95
30981,8,100,95
30982,8,100,95
30983,8,100,95
40124,17,168,160
40125,17,168,160
40128,17,168,160
40130,17,168,160
40131,17,168,160
40132,17,168,160
