Line_descr,Line_encoding,Direction,Stop_id,Stop_encoding,Stop_order,Stop_descr,Stop_lat,Stop_lon
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,1,21,75,30,ΣΤΑΥΡΟΣ,37.9640815,23.6963765
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,2,60554,31,30,ΣΚΥΡΟΥ,38.0010166,23.7406598
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,2,60539,101,31,ΓΥΜΝΑΣΙΟ,38.0042615,23.7484477
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,2,60555,32,31,ΠΛ  ΚΥΨΕΛΗΣ (ΤΕΡΜΑ 036),38.0023813,23.7420444
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,2,60534,100,32,ΠΑΛ. ΤΕΡΜΑ,38.0031479,23.7457469
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,2,20,46,32,ΑΝΩ ΚΥΨΕΛΗ,38.0062135,23.7496075
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,2,60539,101,33,ΓΥΜΝΑΣΙΟ,38.0042615,23.7484477
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,2,20,46,34,ΑΝΩ ΚΥΨΕΛΗ,38.0062135,23.7496075
036ΕΑ-ΣΤ.ΚΑΤΕΧΑΚΗ-ΣΤ.ΠΑΝΟΡΜΟΥ-ΓΑΛΑΤΣΙ-ΚΥΨΕΛΗ,3,1,5,102,1,ΠΛ. ΚΥΨΕΛΗΣ,38.0484867,23.7618168
036ΕΑ-ΣΤ.ΚΑΤΕΧΑΚΗ-ΣΤ.ΠΑΝΟΡΜΟΥ-ΓΑΛΑΤΣΙ-ΚΥΨΕΛΗ,3,1,61065,103,2,ΑΙΓΛΗΣ,38.0039431,23.7435199
